,ResortName,Place,room,bed,Condition,Price,Rating,TotalReviews
29289,Baan Khao Hua Jook,Chaweng,Triple Room with Lake View,"2 beds (1 double, 1 sofa bed)",Very good,US$64,8.4,138 reviews
29292,Phayam Cottage Resort,Ko Phayam,Standard Double Room with Fan,1 extra-large double bed,Good,US$43,7.8,45 reviews
29293,Samed sand sea resort,"Sai Kaew Beach, Ko Samed",Superior King Room,1 extra-large double bed,Good,US$43,7.8,144 reviews
29295,Sunrise Resort- Koh Phangan - SHA Extra Plus,"Haad Rin Nok, Haad Rin",Double Room with Pool View,Beds: 1 double or 2 singles,Review score,US$90,6.4,240 reviews
29296,Andara Resort Villas - SHA Extra Plus,Kamala Beach,Two-Bedroom Pool Suite,"Private suite • 2 bedrooms • 1 living room • 2 bathrooms • 2,626.4feet²2 beds (1 extra-large double, 1 large double)",Exceptional,"US$1,151",9.6,157 reviews
29297,Aonang Hill Krabi-SHA Extra Plus,Ao Nang Beach,Deluxe Double Room with Mountain View,1 large double bed,Superb,US$82,9.1,729 reviews
29298,Phi Phi Rimlay Resort,"Tonsai Bay, Phi Phi Don",Deluxe Double Room with Balcony,1 large double bed,Good,US$56,7.4,265 reviews
29299,Koh Tao Royal Resort,Koh Tao,Standard Bungalow (2 Adults),Entire bungalow • 1 bedroom • 1 bathroom • 172.2feet²1 large double bed,Good,US$41,7.7,168 reviews
29300,Ramada by Wyndham Aonang Krabi,Ao Nang Beach,Deluxe Pool View,Beds: 1 double or 2 singles,Review score,US$50,6.3,87 reviews
29302,Smile Resort,Ban Mai Na Hi,Standard Bungalow with Fan,Entire bungalow • 1 bedroom • 1 bathroom • 322.9feet²2 single beds,Review score,US$16,6.5,14 reviews
29304,Koh Yao Noi Beach Resort,Ko Yao Noi,Bungalow with Garden View,Entire bungalow • 1 bedroom • 1 bathroom • 269.1feet²2 single beds,Good,US$40,7.6,41 reviews
29305,Chang Pai Garden,Pai,Standard Queen Room,1 double bed,Good,US$18,7.5,152 reviews
29308,Palm Paradise Resort,Ao Nang Beach,Palm Twin Villa,Entire villa • 1 bedroom • 1 bathroom • 312.2feet²1 large double bed,Review score,US$40,6.8,150 reviews
29309,Mae On Village Resort,Roi Et,Holiday Home,Entire holiday home • 1 bedroom • 1 living room • 1 bathroom • 387.5feet²1 extra-large double bed,Very good,US$24,8.5,46 reviews
